id,"ancestry","created_at","updated_at","name"
1,NULL,"2019-09-20 14:30:19","2019-09-20 14:30:19","レディース"
2,"1","2019-09-20 14:30:19","2019-09-20 14:30:19","トップス"
3,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","Tシャツ/カットソー(半袖/袖なし)"
4,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","Tシャツ/カットソー(七分/長袖)"
5,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","シャツ/ブラウス(半袖/袖なし)"
6,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","シャツ/ブラウス(七分/長袖)"
7,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","ポロシャツ"
8,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","キャミソール"
9,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","タンクトップ"
10,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","ホルターネック"
11,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","ニット/セーター"
12,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","チュニック"
13,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","カーディガン/ボレロ"
14,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","アンサンブル"
15,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","ベスト/ジレ"
16,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","パーカー"
17,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","トレーナー/スウェット"
18,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","ベアトップ/チューブトップ"
19,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","ジャージ"
20,"1/2","2019-09-20 14:30:19","2019-09-20 14:30:19","その他"
21,"1","2019-09-20 14:30:19","2019-09-20 14:30:19","ジャケット/アウター"
22,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","テーラードジャケット"
23,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","ノーカラージャケット"
24,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","Gジャン/デニムジャケット"
25,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","レザージャケット"
26,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","ダウンジャケット"
27,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","ライダースジャケット"
28,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","ミリタリージャケット"
29,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","ダウンベスト"
30,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","ジャンパー/ブルゾン"
31,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","ポンチョ"
32,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","ロングコート"
33,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","トレンチコート"
34,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","ダッフルコート"
35,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","ピーコート"
36,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","チェスターコート"
37,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","モッズコート"
38,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","スタジャン"
39,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","毛皮/ファーコート"
40,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","スプリングコート"
41,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","スカジャン"
42,"1/21","2019-09-20 14:30:19","2019-09-20 14:30:19","その他"
43,"1","2019-09-20 14:30:19","2019-09-20 14:30:19","パンツ"
44,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","デニム/ジーンズ"
45,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","ショートパンツ"
46,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","カジュアルパンツ"
47,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","ハーフパンツ"
48,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","チノパン"
49,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","ワークパンツ/カーゴパンツ"
50,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","クロップドパンツ"
51,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","サロペット/オーバーオール"
52,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","オールインワン"
53,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","サルエルパンツ"
54,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","ガウチョパンツ"
55,"1/43","2019-09-20 14:30:19","2019-09-20 14:30:19","その他"
56,"1","2019-09-20 14:30:19","2019-09-20 14:30:19","スカート"
57,"1/56","2019-09-20 14:30:19","2019-09-20 14:30:19","ミニスカート"
58,"1/56","2019-09-20 14:30:19","2019-09-20 14:30:19","ひざ丈スカート"
59,"1/56","2019-09-20 14:30:19","2019-09-20 14:30:19","ロングスカート"
60,"1/56","2019-09-20 14:30:19","2019-09-20 14:30:19","キュロット"
61,"1/56","2019-09-20 14:30:19","2019-09-20 14:30:19","その他"
62,"1","2019-09-20 14:30:19","2019-09-20 14:30:19","ワンピース"
63,"1/62","2019-09-20 14:30:19","2019-09-20 14:30:19","ミニワンピース"
64,"1/62","2019-09-20 14:30:19","2019-09-20 14:30:19","ひざ丈ワンピース"
65,"1/62","2019-09-20 14:30:19","2019-09-20 14:30:19","ロングワンピース"
66,"1/62","2019-09-20 14:30:19","2019-09-20 14:30:19","その他"
67,"1","2019-09-20 14:30:19","2019-09-20 14:30:19","靴"
68,"1/67","2019-09-20 14:30:19","2019-09-20 14:30:19","ハイヒール/パンプス"
69,"1/67","2019-09-20 14:30:19","2019-09-20 14:30:19","ブーツ"
70,"1/67","2019-09-20 14:30:19","2019-09-20 14:30:19","サンダル"
71,"1/67","2019-09-20 14:30:19","2019-09-20 14:30:19","スニーカー"
72,"1/67","2019-09-20 14:30:19","2019-09-20 14:30:19","ミュール"
73,"1/67","2019-09-20 14:30:19","2019-09-20 14:30:19","モカシン"
74,"1/67","2019-09-20 14:30:19","2019-09-20 14:30:19","ローファー/革靴"
75,"1/67","2019-09-20 14:30:19","2019-09-20 14:30:19","フラットシューズ/バレエシューズ"
76,"1/67","2019-09-20 14:30:19","2019-09-20 14:30:19","長靴/レインシューズ"
77,"1/67","2019-09-20 14:30:19","2019-09-20 14:30:19","その他"
