id,"ancestry","name",sizing_id,"created_at","updated_at"
1,NULL,"レディース",NULL,"2019-09-28 13:53:22","2019-09-28 13:53:22"
2,"1","トップス",NULL,"2019-09-28 13:53:22","2019-09-28 13:53:22"
3,"1/2","Tシャツ/カットソー(半袖/袖なし)",1,"2019-09-28 13:53:22","2019-09-28 13:53:27"
4,"1/2","Tシャツ/カットソー(七分/長袖)",1,"2019-09-28 13:53:22","2019-09-28 13:53:27"
5,"1/2","シャツ/ブラウス(半袖/袖なし)",1,"2019-09-28 13:53:22","2019-09-28 13:53:27"
6,"1/2","シャツ/ブラウス(七分/長袖)",1,"2019-09-28 13:53:22","2019-09-28 13:53:27"
7,"1/2","ポロシャツ",1,"2019-09-28 13:53:22","2019-09-28 13:53:27"
8,"1/2","キャミソール",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
9,"1/2","タンクトップ",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
10,"1/2","ホルターネック",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
11,"1/2","ニット/セーター",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
12,"1/2","チュニック",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
13,"1/2","カーディガン/ボレロ",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
14,"1/2","アンサンブル",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
15,"1/2","ベスト/ジレ",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
16,"1/2","パーカー",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
17,"1/2","トレーナー/スウェット",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
18,"1/2","ベアトップ/チューブトップ",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
19,"1/2","ジャージ",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
20,"1/2","その他",NULL,"2019-09-28 13:53:23","2019-09-28 13:53:27"
21,"1","ジャケット/アウター",NULL,"2019-09-28 13:53:23","2019-09-28 13:53:23"
22,"1/21","テーラードジャケット",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
23,"1/21","ノーカラージャケット",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
24,"1/21","Gジャン/デニムジャケット",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
25,"1/21","レザージャケット",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
26,"1/21","ダウンジャケット",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
27,"1/21","ライダースジャケット",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
28,"1/21","ミリタリージャケット",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
29,"1/21","ダウンベスト",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
30,"1/21","ジャンパー/ブルゾン",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
31,"1/21","ポンチョ",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
32,"1/21","ロングコート",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
33,"1/21","トレンチコート",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
34,"1/21","ダッフルコート",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
35,"1/21","ピーコート",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
36,"1/21","チェスターコート",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
37,"1/21","モッズコート",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
38,"1/21","スタジャン",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
39,"1/21","毛皮/ファーコート",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
40,"1/21","スプリングコート",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
41,"1/21","スカジャン",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
42,"1/21","その他",NULL,"2019-09-28 13:53:23","2019-09-28 13:53:27"
43,"1","パンツ",NULL,"2019-09-28 13:53:23","2019-09-28 13:53:23"
44,"1/43","デニム/ジーンズ",1,"2019-09-28 13:53:23","2019-09-28 13:53:27"
