id,"name","ancestry","created_at","updated_at"
1,"洋服のサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
2,"XXS以下","1","2019-09-25 15:57:05","2019-09-25 15:57:05"
3,"XS(SS)","1","2019-09-25 15:57:05","2019-09-25 15:57:05"
4,"S","1","2019-09-25 15:57:05","2019-09-25 15:57:05"
5,"M","1","2019-09-25 15:57:05","2019-09-25 15:57:05"
6,"L","1","2019-09-25 15:57:05","2019-09-25 15:57:05"
7,"XL(LL)","1","2019-09-25 15:57:05","2019-09-25 15:57:05"
8,"2XL(3L)","1","2019-09-25 15:57:05","2019-09-25 15:57:05"
9,"3XL(4L)","1","2019-09-25 15:57:05","2019-09-25 15:57:05"
10,"4XL(5L)以上","1","2019-09-25 15:57:05","2019-09-25 15:57:05"
11,"FREE SIZE","1","2019-09-25 15:57:05","2019-09-25 15:57:05"
12,"メンズ靴のサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
13,"23.5cm以下","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
14,"24cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
15,"24.5cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
16,"25cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
17,"25.5cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
18,"26cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
19,"26.5cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
20,"27cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
21,"27.5cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
22,"28cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
23,"28.5cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
24,"29cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
25,"29.5cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
26,"30cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
27,"30.5cm","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
28,"31cm以上","12","2019-09-25 15:57:05","2019-09-25 15:57:05"
29,"レディース靴のサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
30,"20cm以下","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
31,"20.5cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
32,"21cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
33,"21.5cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
34,"22cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
35,"22.5cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
36,"23cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
37,"23.5cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
38,"24cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
39,"24.5cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
40,"25cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
41,"25.5cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
42,"26cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
43,"26.5cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
44,"27cm","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
45,"27.5cm以上","29","2019-09-25 15:57:05","2019-09-25 15:57:05"
46,"スカートのサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
47,"60cm以下","46","2019-09-25 15:57:05","2019-09-25 15:57:05"
48,"~70cm","46","2019-09-25 15:57:05","2019-09-25 15:57:05"
49,"~80cm","46","2019-09-25 15:57:05","2019-09-25 15:57:05"
50,"~90cm","46","2019-09-25 15:57:05","2019-09-25 15:57:05"
51,"90cm以上","46","2019-09-25 15:57:05","2019-09-25 15:57:05"
52,"キッズ服のサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
53,"100cm","52","2019-09-25 15:57:05","2019-09-25 15:57:05"
54,"110cm","52","2019-09-25 15:57:05","2019-09-25 15:57:05"
55,"120cm","52","2019-09-25 15:57:05","2019-09-25 15:57:05"
56,"130cm","52","2019-09-25 15:57:05","2019-09-25 15:57:05"
57,"140cm","52","2019-09-25 15:57:05","2019-09-25 15:57:05"
58,"150cm","52","2019-09-25 15:57:05","2019-09-25 15:57:05"
59,"160cm","52","2019-09-25 15:57:05","2019-09-25 15:57:05"
60,"ベビー・キッズ靴のサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
61,"10.5cm以下","60","2019-09-25 15:57:05","2019-09-25 15:57:05"
62,"11cm・11.5cm","60","2019-09-25 15:57:05","2019-09-25 15:57:05"
63,"12cm・12.5cm","60","2019-09-25 15:57:05","2019-09-25 15:57:05"
64,"13cm・13.5cm","60","2019-09-25 15:57:05","2019-09-25 15:57:05"
65,"14cm・14.5cm","60","2019-09-25 15:57:05","2019-09-25 15:57:05"
66,"15cm・15.5cm","60","2019-09-25 15:57:05","2019-09-25 15:57:05"
67,"16cm・16.5cm","60","2019-09-25 15:57:05","2019-09-25 15:57:05"
68,"17cm以上","60","2019-09-25 15:57:05","2019-09-25 15:57:05"
69,"ベビー服のサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
70,"60cm","69","2019-09-25 15:57:05","2019-09-25 15:57:05"
71,"70cm","69","2019-09-25 15:57:05","2019-09-25 15:57:05"
72,"80cm","69","2019-09-25 15:57:05","2019-09-25 15:57:05"
73,"90cm","69","2019-09-25 15:57:05","2019-09-25 15:57:05"
74,"95cm","69","2019-09-25 15:57:05","2019-09-25 15:57:05"
75,"テレビのサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
76,"～20インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
77,"20～26インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
78,"26～32インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
79,"32～37インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
80,"37～40インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
81,"40～42インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
82,"42～46インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
83,"46～52インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
84,"52～60インチ","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
85,"60インチ～","75","2019-09-25 15:57:05","2019-09-25 15:57:05"
86,"カメラレンズのサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
87,"ニコンFマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
88,"キヤノンEFマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
89,"ペンタックスKマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
90,"ペンタックスQマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
91,"フォーサーズマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
92,"マイクロフォーサーズマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
93,"α Aマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
94,"α Eマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
95,"ニコン1マウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
96,"キヤノンEF-Mマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
97,"Xマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
98,"シグマSAマウント","86","2019-09-25 15:57:05","2019-09-25 15:57:05"
99,"オートバイのサイズ",NULL,"2019-09-25 15:57:05","2019-09-25 15:57:05"
100,"50cc以下","99","2019-09-25 15:57:05","2019-09-25 15:57:05"
101,"51cc-125cc","99","2019-09-25 15:57:05","2019-09-25 15:57:05"
102,"126cc-250cc","99","2019-09-25 15:57:05","2019-09-25 15:57:05"
103,"251cc-400cc","99","2019-09-25 15:57:05","2019-09-25 15:57:05"
